Date,ATVI,BAM,BOOM,CAR,DIS,DKS,DSHK,FUN,GME,GOLF,HEMP,LOGI,MODG,MSFT,NCBDY,NTDOY,NTES,NVDA,RBLX,SEAS,SIX,SONY,WOOF,YUM
2023-04-04,85.11000061035156,31.780000686645508,20.829999923706055,187.86000061035156,99.56999969482422,143.0399932861328,0.3499999940395355,45.5099983215332,22.350000381469727,50.11000061035156,0.00019999999494757503,57.4900016784668,21.459999084472656,287.17999267578125,10.869999885559082,10.180000305175781,90.29000091552734,274.5299987792969,46.290000915527344,60.540000915527344,26.3700008392334,91.01000213623047,8.8100004196167,131.60000610351562
2023-04-05,85.37999725341797,31.600000381469727,20.1200008392334,177.8800048828125,99.91000366210938,139.99000549316406,0.3499999940395355,45.5,22.06999969482422,48.560001373291016,0.00019999999494757503,56.689998626708984,20.84000015258789,284.3399963378906,10.814000129699707,9.9399995803833,88.62999725341797,268.80999755859375,45.38999938964844,58.5099983215332,25.479999542236328,89.6500015258789,8.529999732971191,131.94000244140625
2023-04-06,85.22000122070312,31.6200008392334,20.079999923706055,181.44000244140625,99.97000122070312,137.94000244140625,0.33000001311302185,45.040000915527344,22.399999618530273,49.11000061035156,0.00019999999494757503,57.02000045776367,20.700000762939453,291.6000061035156,10.920000076293945,10.0,89.76000213623047,270.3699951171875,46.20000076293945,58.2599983215332,25.420000076293945,88.16999816894531,8.59000015258789,132.10000610351562
2023-04-10,85.4800033569336,31.549999237060547,20.229999542236328,190.69000244140625,100.80999755859375,137.10000610351562,0.3400000035762787,45.119998931884766,22.3700008392334,49.97999954223633,0.00019999999494757503,57.09000015258789,21.709999084472656,289.3900146484375,10.850000381469727,10.270000457763672,89.0199966430664,275.7900085449219,46.43000030517578,58.119998931884766,26.34000015258789,88.51000213623047,9.0600004196167,131.10000610351562
2023-04-11,85.08999633789062,31.84000015258789,20.09000015258789,195.0399932861328,100.41999816894531,139.07000732421875,0.36000001430511475,45.119998931884766,22.690000534057617,50.65999984741211,0.00019999999494757503,56.68000030517578,22.510000228881836,282.8299865722656,10.829999923706055,10.100000381469727,89.0,271.69000244140625,46.060001373291016,59.11000061035156,26.719999313354492,88.91000366210938,9.239999771118164,131.57000732421875
2023-04-12,84.94999694824219,32.119998931884766,19.639999389648438,184.8699951171875,97.94000244140625,137.67999267578125,0.3400000035762787,43.33000183105469,22.260000228881836,50.709999084472656,0.00019999999494757503,57.029998779296875,22.34000015258789,283.489990234375,10.892000198364258,10.210000038146973,88.04000091552734,264.95001220703125,45.20000076293945,56.619998931884766,25.799999237060547,89.44000244140625,9.239999771118164,131.97999572753906
2023-04-13,85.58000183105469,33.52000045776367,19.969999313354492,181.1699981689453,100.83999633789062,137.89999389648438,0.3700000047683716,42.400001525878906,22.549999237060547,49.68000030517578,0.00019999999494757503,58.08000183105469,22.3799991607666,289.8399963378906,11.119999885559082,10.199999809265137,90.05999755859375,264.6300048828125,45.70000076293945,58.279998779296875,26.360000610351562,90.48999786376953,9.34000015258789,134.66000366210938
2023-04-14,85.2699966430664,33.4900016784668,19.6299991607666,177.82000732421875,99.9000015258789,139.44000244140625,0.3499999940395355,40.939998626708984,22.459999084472656,49.20000076293945,0.0003000000142492354,58.63999938964844,22.399999618530273,286.1400146484375,11.0,10.220000267028809,90.44000244140625,267.5799865722656,45.70000076293945,57.09000015258789,26.030000686645508,90.86000061035156,9.539999961853027,134.8800048828125
2023-04-17,85.5,33.150001525878906,19.56999969482422,183.22000122070312,100.30000305175781,140.1999969482422,0.33000001311302185,40.970001220703125,22.280000686645508,49.459999084472656,0.00019999999494757503,59.310001373291016,22.290000915527344,288.79998779296875,10.996999740600586,10.170000076293945,94.5,270.0199890136719,40.209999084472656,56.099998474121094,25.290000915527344,91.1500015258789,9.630000114440918,137.10000610351562
2023-04-18,85.55000305175781,32.939998626708984,19.6200008392334,178.1999969482422,100.93000030517578,142.55999755859375,0.3199999928474426,41.66999816894531,21.610000610351562,49.9900016784668,0.00019999999494757503,59.31999969482422,22.649999618530273,288.3699951171875,11.199999809265137,10.300000190734863,92.55000305175781,276.6700134277344,40.810001373291016,55.72999954223633,25.549999237060547,91.30999755859375,9.630000114440918,137.5800018310547
2023-04-19,85.5,32.959999084472656,20.25,180.10000610351562,98.75,144.08999633789062,0.3100000023841858,41.75,21.309999465942383,50.22999954223633,0.00019999999494757503,57.279998779296875,22.829999923706055,288.45001220703125,11.210000038146973,10.180000305175781,91.19000244140625,279.30999755859375,41.09000015258789,53.75,24.540000915527344,90.97000122070312,9.720000267028809,137.1199951171875
2023-04-20,85.56999969482422,32.75,20.170000076293945,172.57000732421875,98.06999969482422,146.22999572753906,0.28999999165534973,41.7599983215332,20.219999313354492,50.709999084472656,0.0003000000142492354,56.79999923706055,22.6200008392334,286.1099853515625,10.99899959564209,10.1899995803833,91.31999969482422,271.0400085449219,41.310001373291016,53.08000183105469,24.079999923706055,91.37999725341797,9.8100004196167,137.5
2023-04-21,85.52999877929688,32.63999938964844,20.209999084472656,176.7100067138672,99.56999969482422,148.91000366210938,0.3199999928474426,41.279998779296875,20.489999771118164,51.27000045776367,0.0003000000142492354,56.970001220703125,22.8700008392334,285.760009765625,11.130000114440918,10.34000015258789,90.19999694824219,271.19000244140625,40.70000076293945,52.970001220703125,23.530000686645508,92.05000305175781,9.680000305175781,138.3300018310547
2023-04-24,86.08999633789062,32.70000076293945,20.6299991607666,173.55999755859375,99.68000030517578,149.35000610351562,0.30000001192092896,41.369998931884766,19.93000030517578,50.970001220703125,0.0003000000142492354,57.38999938964844,22.690000534057617,281.7699890136719,11.180000305175781,10.430000305175781,90.27999877929688,270.4200134277344,39.060001373291016,53.2599983215332,23.200000762939453,91.55999755859375,9.899999618530273,138.89999389648438
2023-04-25,86.73999786376953,32.5,19.389999389648438,166.13999938964844,98.01000213623047,145.82000732421875,0.30000001192092896,41.09000015258789,19.0,49.380001068115234,0.00019999999494757503,55.689998626708984,22.209999084472656,275.4200134277344,11.170000076293945,10.470000267028809,84.55000305175781,262.4100036621094,37.56999969482422,51.56999969482422,22.81999969482422,90.76000213623047,9.420000076293945,137.80999755859375
2023-04-26,76.80999755859375,32.25,18.670000076293945,166.2899932861328,96.61000061035156,145.17999267578125,0.30000001192092896,41.619998931884766,18.649999618530273,49.83000183105469,0.00019999999494757503,56.290000915527344,22.110000610351562,295.3699951171875,11.140000343322754,10.420000076293945,85.87999725341797,269.55999755859375,35.7599983215332,50.7599983215332,23.079999923706055,93.80999755859375,9.600000381469727,138.00999450683594
2023-04-27,77.61000061035156,33.220001220703125,18.610000610351562,176.08999633789062,99.93000030517578,144.60000610351562,0.3100000023841858,43.22999954223633,18.940000534057617,50.209999084472656,0.00019999999494757503,57.31999969482422,22.290000915527344,304.8299865722656,11.239999771118164,10.579999923706055,88.52999877929688,272.260009765625,35.540000915527344,52.84000015258789,24.280000686645508,95.08999633789062,9.729999542236328,139.8000030517578
2023-04-28,77.70999908447266,33.54999923706055,18.940000534057617,176.6699981689453,102.5,145.00999450683594,0.28999999165534973,43.720001220703125,19.290000915527344,50.130001068115234,0.00019999999494757503,59.459999084472656,22.170000076293945,307.260009765625,11.3100004196167,10.5600004196167,89.12999725341797,277.489990234375,35.599998474121094,53.65999984741211,24.270000457763672,89.66999816894531,9.960000038146973,140.5800018310547
2023-05-01,77.43000030517578,33.45000076293945,18.979999542236328,177.19000244140625,102.20999908447266,141.75999450683594,0.2800000011920929,43.09000015258789,18.549999237060547,49.720001220703125,0.00019999999494757503,60.97999954223633,21.950000762939453,305.55999755859375,11.244999885559082,10.350000381469727,89.02999877929688,289.1000061035156,36.0,55.09000015258789,23.8700008392334,92.19000244140625,9.869999885559082,142.22999572753906
2023-05-02,76.0,32.29999923706055,17.3799991607666,171.75999450683594,100.5999984741211,142.77999877929688,0.27000001072883606,41.63999938964844,18.579999923706055,50.5,0.00019999999494757503,63.33000183105469,22.09000015258789,305.4100036621094,11.130000114440918,10.319999694824219,89.05000305175781,282.1000061035156,34.45000076293945,53.849998474121094,23.25,91.36000061035156,9.899999618530273,142.89999389648438
2023-05-03,75.2300033569336,32.369998931884766,17.459999084472656,168.08999633789062,100.86000061035156,142.55999755859375,0.27000001072883606,40.880001068115234,18.899999618530273,50.66999816894531,9.999999747378752e-05,62.68000030517578,22.270000457763672,304.3999938964844,11.170000076293945,10.430000305175781,87.98999786376953,278.0199890136719,34.22999954223633,53.58000183105469,22.700000762939453,92.80999755859375,10.180000305175781,137.30999755859375
